UF;regional;municipio
PR;PARANAVAI;ALTO PARANA
PR;PARANAVAI;AMAPORA
PR;PARANAVAI;CRUZEIRO DO SUL
PR;PARANAVAI;GUAIRACA
PR;PARANAVAI;INAJA
PR;PARANAVAI;ITAGUAJE
PR;PARANAVAI;JARDIM OLINDA
PR;PARANAVAI;MIRADOR
PR;PARANAVAI;NOVA ALIANCA DO IVAI
PR;PARANAVAI;NOVA ESPERANCA
PR;PARANAVAI;PARAISO DO NORTE
PR;PARANAVAI;PARANACITY
PR;PARANAVAI;PARANAPOEMA
PR;PARANAVAI;PARANAVAI
PR;PARANAVAI;SANTA INES
PR;PARANAVAI;SANTO ANTONIO DO CAIUA
PR;PARANAVAI;SAO CARLOS DO IVAI
PR;PARANAVAI;SAO JOAO DO CAIUA
PR;PARANAVAI;TAMBOARA
PR;PARANAVAI;TERRA RICA
PR;PARANAVAI;UNIFLOR
PR;PATO BRANCO;BOM SUCESSO DO SUL
PR;PATO BRANCO;CHOPINZINHO
PR;PATO BRANCO;CLEVELANDIA
PR;PATO BRANCO;CORONEL DOMINGOS SOARES
PR;PATO BRANCO;CORONEL VIVIDA
PR;PATO BRANCO;HONORIO SERPA
PR;PATO BRANCO;ITAPEJARA D'OESTE
PR;PATO BRANCO;MANGUEIRINHA
PR;PATO BRANCO;MARIOPOLIS
PR;PATO BRANCO;PALMAS
PR;PATO BRANCO;PATO BRANCO
PR;PATO BRANCO;SAO JOAO
PR;PATO BRANCO;SAUDADE DO IGUACU
PR;PATO BRANCO;SULINA
PR;PATO BRANCO;VITORINO
PR;PITANGA;BOA VENTURA DE SAO ROQUE
PR;PITANGA;LARANJAL
PR;PITANGA;MATO RICO
PR;PITANGA;NOVA TEBAS
PR;PITANGA;PALMITAL
PR;PITANGA;PITANGA
PR;PITANGA;SANTA MARIA DO OESTE
PR;PONTA GROSSA;CARAMBEI
PR;PONTA GROSSA;CASTRO
PR;PONTA GROSSA;IMBITUVA
PR;PONTA GROSSA;IPIRANGA
PR;PONTA GROSSA;IVAI
PR;PONTA GROSSA;PALMEIRA
PR;PONTA GROSSA;PIRAI DO SUL
PR;PONTA GROSSA;PONTA GROSSA
PR;PONTA GROSSA;PORTO AMAZONAS
PR;PONTA GROSSA;SAO JOAO DO TRIUNFO
PR;PONTA GROSSA;TIBAGI
PR;TELEMACO BORBA;CURIUVA
PR;TELEMACO BORBA;IMBAU
PR;TELEMACO BORBA;ORTIGUEIRA
PR;TELEMACO BORBA;RESERVA
PR;TELEMACO BORBA;SAPOPEMA
PR;TELEMACO BORBA;TELEMACO BORBA
PR;TELEMACO BORBA;VENTANIA
PR;TOLEDO;DIAMANTE D'OESTE
PR;TOLEDO;ENTRE RIOS DO OESTE
PR;TOLEDO;GUAIRA
PR;TOLEDO;MARECHAL CANDIDO RONDON
PR;TOLEDO;MARIPA
PR;TOLEDO;MERCEDES
PR;TOLEDO;NOVA SANTA ROSA
PR;TOLEDO;OURO VERDE DO OESTE
PR;TOLEDO;PALOTINA
PR;TOLEDO;PATO BRAGADO
PR;TOLEDO;QUATRO PONTES
PR;TOLEDO;SANTA HELENA
PR;TOLEDO;SAO JOSE DAS PALMEIRAS
PR;TOLEDO;SAO PEDRO DO IGUACU
PR;TOLEDO;TERRA ROXA
PR;TOLEDO;TOLEDO
PR;UMUARAMA;ALTONIA
PR;UMUARAMA;ALTO PIQUIRI
PR;UMUARAMA;CAFEZAL DO SUL
PR;UMUARAMA;CRUZEIRO DO OESTE
PR;UMUARAMA;DOURADINA
PR;UMUARAMA;ESPERANCA NOVA
PR;UMUARAMA;FRANCISCO ALVES
PR;UMUARAMA;ICARAIMA
PR;UMUARAMA;IPORA
PR;UMUARAMA;IVATE
PR;UMUARAMA;MARIA HELENA
PR;UMUARAMA;NOVA OLIMPIA
PR;UMUARAMA;PEROBAL
PR;UMUARAMA;PEROLA
PR;UMUARAMA;SAO JORGE DO PATROCINIO
PR;UMUARAMA;TAPIRA
PR;UMUARAMA;UMUARAMA
PR;UMUARAMA;ALTO PARAISO
PR;UMUARAMA;XAMBRE
PR;UNIAO DA VITORIA;ANTONIO OLINTO
PR;UNIAO DA VITORIA;BITURUNA
PR;UNIAO DA VITORIA;CRUZ MACHADO
PR;UNIAO DA VITORIA;GENERAL CARNEIRO
PR;UNIAO DA VITORIA;PAULA FREITAS
PR;UNIAO DA VITORIA;PAULO FRONTIN
PR;UNIAO DA VITORIA;PORTO VITORIA
PR;UNIAO DA VITORIA;SAO MATEUS DO SUL
PR;UNIAO DA VITORIA;UNIAO DA VITORIA
PR;WENCESLAU BRAZ;ARAPOTI
PR;WENCESLAU BRAZ;JAGUARIAIVA
PR;WENCESLAU BRAZ;SALTO DO ITARARE
PR;WENCESLAU BRAZ;SANTANA DO ITARARE
PR;WENCESLAU BRAZ;SAO JOSE DA BOA VISTA
PR;WENCESLAU BRAZ;SENGES
PR;WENCESLAU BRAZ;WENCESLAU BRAZ
RO;ALTA FLORESTA;Alta Floresta D'Oeste
RO;ALTA FLORESTA;Alto Alegre dos Parecis
RO;ARIQUEMES;Alto Paraíso
RO;ARIQUEMES;Cacaulândia
RO;ARIQUEMES;Cujubim
RO;ARIQUEMES;Ariquemes
RO;ARIQUEMES;Rio Crespo
RO;ARIQUEMES;Monte Negro
RO;BURITIS;Campo Novo de Rondônia
RO;BURITIS;Dist. de Rio Pardo
RO;BURITIS;Buritis
RO;CACOAL;Cacoal
RO;CACOAL;Riozinho
RO;CACOAL;Ministro Andreazza
RO;CEREJEIRAS;Corumbiara
RO;CEREJEIRAS;Cabixi
RO;CEREJEIRAS;Cerejeiras
RO;CEREJEIRAS;Pimenteiras do Oeste
RO;COSTA MARQUES;Costa Marques
RO;Guajará-Mirim;Guajará-Mirim
RO;ESPIGÃO D' OESTE;Espigão D'Oeste
RO;EXTREMA;Extrema
RO;GUAJARÁ-MIRIM;Nova Mamoré
RO;JARU;Jaru
RO;JARU;Governador Jorge Teixeira
RO;JARU;Theobroma
RO;JI-PARANÁ;Presidente Médici
RO;JI-PARANÁ;Alvorada D'Oeste
RO;JI-PARANÁ;Urupá
RO;JI-PARANÁ;Ji-Paraná
RO;MACHADINHO;Machadinho D'Oeste
RO;MACHADINHO;Vale do Anari
RO;OURO PRETO;Ouro Preto do Oeste
RO;OURO PRETO;Nova União
RO;OURO PRETO;Vale do Paraíso
RO;OURO PRETO;Mirante da Serra
RO;OURO PRETO;Teixeirópolis
RO;PIMENTA BUENO;Pimenta Bueno
RO;PIMENTA BUENO;Parecis
RO;PIMENTA BUENO;Primavera de Rondônia
RO;PIMENTA BUENO;São Felipe D'Oeste
RO;PORTO VELHO;Candeias do Jamari
RO;PORTO VELHO;Jaci-Paraná
RO;PORTO VELHO;Itapuã do Oeste
RO;PORTO VELHO;Dist. De Nazaré
RO;PORTO VELHO;Dist. de São Carlos
RO;PORTO VELHO;Porto Velho
RO;ROLIM DE MOURA;Santa Luzia D'Oeste
RO;ROLIM DE MOURA;Castanheiras
RO;ROLIM DE MOURA;Nova Estrela
RO;ROLIM DE MOURA;Rolim de Moura
RO;ROLIM DE MOURA;Nova Brasilândia D'Oeste
RO;ROLIM DE MOURA;Novo Horizonte do Oeste
RO;SÃO FRANCISCO;São Miguel do Guaporé
RO;SÃO FRANCISCO;São Francisco do Guaporé
RO;SÃO FRANCISCO;Seringueiras
RO;VILHENA;Vilhena
RO;VILHENA;Chupinguaia
RO;VILHENA;Colorado do Oeste
TO;ARAGUAINA;Ananás
TO;ARAGUAINA;Aragominas
TO;ARAGUAINA;Araguaína
TO;ARAGUAINA;Araguanã
TO;ARAGUAINA;Babaçulândia
TO;ARAGUAINA;Barra do Ouro
TO;ARAGUAINA;Campos Lindos
TO;ARAGUAINA;Carmolândia
TO;ARAGUAINA;Filadélfia
TO;ARAGUAINA;Goiatins
TO;ARAGUAINA;Muricilândia
TO;ARAGUAINA;Nova Olinda
TO;ARAGUAINA;Piraquê
TO;ARAGUAINA;Riachinho
TO;ARAGUAINA;Santa Fé do Araguaia
TO;ARAGUAINA;Wanderlândia
TO;ARAGUAINA;Xambioá
TO;ARAGUATINS;Araguatins
TO;ARAGUATINS;Augustinópolis
TO;ARAGUATINS;Axixá do Tocantins
TO;ARAGUATINS;Buriti do Tocantins
TO;ARAGUATINS;Carrasco Bonito
TO;ARAGUATINS;Esperantina
TO;ARAGUATINS;Praia Norte
TO;ARAGUATINS;Sampaio
TO;ARAGUATINS;São Bento do Tocantins
TO;ARAGUATINS;São Miguel do Tocantins
TO;ARAGUATINS;São Sebastião do Tocantins
TO;ARAGUATINS;Sítio Novo do Tocantins
TO;ARRAIAS;Arraias
TO;ARRAIAS;Aurora do Tocantins
TO;ARRAIAS;Combinado
TO;ARRAIAS;Lavandeira
TO;ARRAIAS;Novo Alegre
TO;ARRAIAS;Paranã
TO;COLINAS DO TOCANTINS;Arapoema
TO;COLINAS DO TOCANTINS;Bandeirantes do Tocantins
TO;COLINAS DO TOCANTINS;Bernardo Sayão
TO;COLINAS DO TOCANTINS;Brasilândia do Tocantins
TO;COLINAS DO TOCANTINS;Colinas do Tocantins
TO;COLINAS DO TOCANTINS;Itapiratins
TO;COLINAS DO TOCANTINS;Juarina
TO;COLINAS DO TOCANTINS;Palmeirante
TO;COLINAS DO TOCANTINS;Pau-d'Arco
TO;COLINAS DO TOCANTINS;Tupiratins
TO;DIANOPOLIS;Almas
TO;DIANOPOLIS;Conceição do Tocantins
TO;DIANOPOLIS;Dianópolis
TO;DIANOPOLIS;Novo Jardim
TO;DIANOPOLIS;Ponte Alta do Bom Jesus
TO;DIANOPOLIS;Porto Alegre do Tocantins
TO;DIANOPOLIS;Rio da Conceição
TO;DIANOPOLIS;Taguatinga
TO;DIANOPOLIS;Taipas do Tocantins
TO;GUARAI;Colméia
TO;GUARAI;Couto de Magalhães
TO;GUARAI;Fortaleza do Tabocão
TO;GUARAI;Goianorte
TO;GUARAI;Guaraí
TO;GUARAI;Itaporã do Tocantins
TO;GUARAI;Pequizeiro
TO;GUARAI;Presidente Kennedy
TO;GURUPI;Aliança do Tocantins
TO;GURUPI;Alvorada
TO;GURUPI;Araguaçu
TO;GURUPI;Cariri do Tocantins
TO;GURUPI;Crixás do Tocantins
TO;GURUPI;Dueré
TO;GURUPI;Figueirópolis
TO;GURUPI;Formoso do Araguaia
TO;GURUPI;Gurupi
TO;GURUPI;Jaú do Tocantins
TO;GURUPI;Palmeirópolis
TO;GURUPI;Peixe
TO;GURUPI;Sandolândia
TO;GURUPI;São Salvador do Tocantins
TO;GURUPI;São Valério da Natividade
TO;GURUPI;Sucupira
TO;GURUPI;Talismã
TO;MIRACEMA DO TOCANTINS;Dois Irmãos do Tocantins
TO;MIRACEMA DO TOCANTINS;Lizarda
TO;MIRACEMA DO TOCANTINS;Miracema do Tocantins
TO;MIRACEMA DO TOCANTINS;Miranorte
TO;MIRACEMA DO TOCANTINS;Rio dos Bois
TO;MIRACEMA DO TOCANTINS;Tocantínia
TO;PALMAS;Aparecida do Rio Negro
TO;PALMAS;Lagoa do Tocantins
TO;PALMAS;Lajeado
TO;PALMAS;Mateiros
TO;PALMAS;Novo Acordo
TO;PALMAS;Palmas
TO;PALMAS;Rio Sono
TO;PALMAS;Santa Tereza do Tocantins
TO;PALMAS;São Félix do Tocantins
TO;PARAISO DO TOCANTINS;Abreulândia
TO;PARAISO DO TOCANTINS;Araguacema
TO;PARAISO DO TOCANTINS;Barrolândia
TO;PARAISO DO TOCANTINS;Caseara
TO;PARAISO DO TOCANTINS;Chapada de Areia
TO;PARAISO DO TOCANTINS;Cristalândia
TO;PARAISO DO TOCANTINS;Divinópolis do Tocantins
TO;PARAISO DO TOCANTINS;Lagoa da Confusão
TO;PARAISO DO TOCANTINS;Marianópolis do Tocantins
TO;PARAISO DO TOCANTINS;Monte Santo do Tocantins
TO;PARAISO DO TOCANTINS;Nova Rosalândia
TO;PARAISO DO TOCANTINS;Paraíso do Tocantins
TO;PARAISO DO TOCANTINS;Pium
TO;PARAISO DO TOCANTINS;Pugmil
TO;PEDRO AFONSO;Bom Jesus do Tocantins
TO;PEDRO AFONSO;Centenário
TO;PEDRO AFONSO;Itacajá
TO;PEDRO AFONSO;Pedro Afonso
TO;PEDRO AFONSO;Recursolândia
TO;PEDRO AFONSO;Santa Maria do Tocantins
TO;PEDRO AFONSO;Tupirama
TO;PORTO NACIONAL;Brejinho de Nazaré
TO;PORTO NACIONAL;Chapada da Natividade
TO;PORTO NACIONAL;Fátima
TO;PORTO NACIONAL;Ipueiras
TO;PORTO NACIONAL;Monte do Carmo
TO;PORTO NACIONAL;Natividade
TO;PORTO NACIONAL;Oliveira de Fátima
TO;PORTO NACIONAL;Pindorama do Tocantins
TO;PORTO NACIONAL;Ponte Alta do Tocantins
TO;PORTO NACIONAL;Porto Nacional
TO;PORTO NACIONAL;Santa Rita do Tocantins
TO;PORTO NACIONAL;Santa Rosa do Tocantins
TO;PORTO NACIONAL;Silvanópolis
TO;TOCANTINOPOLIS;Aguiarnópolis
TO;TOCANTINOPOLIS;Angico
TO;TOCANTINOPOLIS;Cachoeirinha
TO;TOCANTINOPOLIS;Darcinópolis
TO;TOCANTINOPOLIS;Itaguatins
TO;TOCANTINOPOLIS;Luzinópolis
TO;TOCANTINOPOLIS;Maurilândia do Tocantins
TO;TOCANTINOPOLIS;Nazaré
TO;TOCANTINOPOLIS;Palmeiras do Tocantins
TO;TOCANTINOPOLIS;Santa Terezinha do Tocantins
TO;TOCANTINOPOLIS;Tocantinópolis
AP;AP;Calcoene
AP;AP;Oiapoque
AP;AP;Amapa
AP;AP;Pracuuba
AP;AP;Tartarugalzinho
AP;AP;Serra do Navio
AP;AP;Pedra Branca do Amapari
AP;AP;Cutias
AP;AP;Ferreira Gomes
AP;AP;Itaubal
AP;AP;Macapa
AP;AP;Porto Grande
AP;AP;Santana
AP;AP;Laranjal do Jari
AP;AP;Vitoria do Jari
AP;AP;Mazagao
RR;RR;Alto Alegre
RR;RR;Mucajai
RR;RR;Pacaraima
RR;RR;Boa Vista
RR;RR;Amajari
RR;RR;Uiramuta
RR;RR;Bonfim
RR;RR;Canta
RR;RR;Normandia
RR;RR;Caracarai
RR;RR;Iracema
RR;RR;Sao Joao da Baliza
RR;RR;Caroebe
RR;RR;Sao Luiz
RR;RR;Rorainopolis
DF;DF;Brasilia
BA;1;América Dourada
BA;1;Barra do Mendes
BA;1;Barro Alto
BA;1;Cafarnaum
BA;1;Canarana
BA;1;Central
BA;1;Gentio do Ouro
BA;1;Ibipeba
BA;1;Ibititá
BA;1;Ipupiara
BA;1;Irecê
BA;1;Itaguaçu da Bahia
BA;1;João Dourado
BA;1;Jussara
BA;1;Lapão
BA;1;Mulungu do Morro
BA;1;Presidente Dutra
BA;1;São Gabriel
BA;1;Uibaí
BA;1;Xique-Xique
BA;2;Barra
BA;2;Bom Jesus da Lapa
BA;2;Brotas de Macaúbas
BA;2;Carinhanha
BA;2;Feira da Mata
BA;2;Ibotirama
BA;2;Igaporã
BA;2;Malhada
BA;2;Matina
BA;2;Morpará
BA;2;Muquém de São Francisco
BA;2;Oliveira dos Brejinhos
BA;2;Paratinga
BA;2;Riacho de Santana
BA;2;Serra do Ramalho
BA;2;Sítio do Mato
BA;3;Abaíra
BA;3;Andaraí
BA;3;Barra da Estiva
BA;3;Boninal
BA;3;Bonito
BA;3;Ibicoara
BA;3;Ibitiara
BA;3;Iramaia
BA;3;Iraquara
BA;3;Itaeté
BA;3;Jussiape
BA;3;Lençóis
BA;3;Marcionílio Souza
BA;3;Morro do Chapéu
BA;3;Mucugê
BA;3;Nova Redenção
BA;3;Novo Horizonte
BA;3;Palmeiras
BA;3;Piatã
BA;3;Rio de Contas
BA;3;Seabra
BA;3;Souto Soares
BA;3;Utinga
BA;3;Wagner
BA;4;Araci
BA;4;Barrocas
BA;4;Biritinga
BA;4;Candeal
BA;4;Cansanção
BA;4;Conceição do Coité
BA;4;Ichu
BA;4;Itiúba
BA;4;Lamarão
BA;4;Monte Santo
BA;4;Nordestina
BA;4;Queimadas
BA;4;Quijingue
BA;4;Retirolândia
BA;4;Santaluz
BA;4;São Domingos
BA;4;Serrinha
BA;4;Teofilândia
BA;4;Tucano
BA;4;Valente
BA;5;Almadina
BA;5;Arataca
BA;5;Aurelino Leal
BA;5;Barro Preto
BA;5;Buerarema
BA;5;Camacan
BA;5;Canavieiras
BA;5;Coaraci
BA;5;Floresta Azul
BA;5;Ibicaraí
BA;5;Ilhéus
BA;5;Itabuna
BA;5;Itacaré
BA;5;Itaju do Colônia
BA;5;Itajuípe
BA;5;Itapé
BA;5;Itapitanga
BA;5;Jussari
BA;5;Maraú
BA;5;Mascote
BA;5;Pau Brasil
BA;5;Santa Luzia
BA;5;São José da Vitória
BA;5;Ubaitaba
BA;5;Una
BA;5;Uruçuca
BA;6;Aratuípe
BA;6;Cairu
BA;6;Camamu
BA;6;Gandu
BA;6;Ibirapitanga
BA;6;Igrapiúna
BA;6;Ituberá
BA;6;Jaguaripe
BA;6;Nilo Peçanha
BA;6;Piraí do Norte
BA;6;Presidente Tancredo Neves
BA;6;Taperoá
BA;6;Teolândia
BA;6;Valença
BA;6;Wenceslau Guimarães
BA;7;Alcobaça
BA;7;Caravelas
BA;7;Ibirapuã
BA;7;Itamaraju
BA;7;Itanhém
BA;7;Jucuruçu
BA;7;Lajedão
BA;7;Medeiros Neto
BA;7;Mucuri
BA;7;Nova Viçosa
BA;7;Prado
BA;7;Teixeira de Freitas
BA;7;Vereda
BA;8;Caatiba
BA;8;Firmino Alves
BA;8;Ibicuí
BA;8;Iguaí
BA;8;Itambé
BA;8;Itapetinga
BA;8;Itarantim
BA;8;Itororó
BA;8;Macarani
BA;8;Maiquinique
BA;8;Nova Canaã
BA;8;Potiraguá
BA;8;Santa Cruz da Vitória
BA;9;Amargosa
BA;9;Brejões
BA;9;Cravolândia
BA;9;Elísio Medrado
BA;9;Irajuba
BA;9;Itaquara
BA;9;Itiruçu
BA;9;Jaguaquara
BA;9;Jiquiriçá
BA;9;Lafaiete Coutinho
BA;9;Laje
BA;9;Lajedo do Tabocal
BA;9;Maracás
BA;9;Milagres
BA;9;Mutuípe
BA;9;Nova Itarana
BA;9;Planaltino
BA;9;Santa Inês
BA;9;São Miguel das Matas
BA;9;Ubaíra
BA;10;Campo Alegre de Lourdes
BA;10;Canudos
BA;10;Casa Nova
BA;10;Curaçá
BA;10;Juazeiro
BA;10;Pilão Arcado
BA;10;Remanso
BA;10;Sento Sé
BA;10;Sobradinho
BA;10;Uauá
BA;11;Angical
BA;11;Baianópolis
BA;11;Barreiras
BA;11;Buritirama
BA;11;Catolândia
BA;11;Cotegipe
BA;11;Cristópolis
BA;11;Formosa do Rio Preto
BA;11;Luís Eduardo Magalhães
BA;11;Mansidão
BA;11;Riachão das Neves
BA;11;Santa Rita de Cássia
BA;11;São Desidério
BA;11;Wanderley
BA;12;Érico Cardoso
BA;12;Boquira
BA;12;Botuporã
BA;12;Caturama
BA;12;Ibipitanga
BA;12;Macaúbas
BA;12;Paramirim
BA;12;Rio do Pires
BA;14;BOA VISTA DO TUPIM
BA;14;IACU
BA;14;IBIQUERA
BA;14;ITABERABA
BA;14;ITATIM
BA;14;LAJEDINHO
BA;14;MACAJUBA
BA;14;MUNDO NOVO
BA;14;PIRITIBA
BA;14;RAFAEL JAMBEIRO
BA;14;RUY BARBOSA
BA;14;SANTA TERESINHA
BA;14;TAPIRAMUTA
BA;13;Brumado
BA;13;Caculé
BA;13;Caetité
BA;13;Candiba
BA;13;Contendas do Sincorá
BA;13;Dom Basílio
BA;13;Guanambi
BA;13;Ibiassucê
BA;13;Ituaçu
BA;13;Iuiú
BA;13;Lagoa Real
BA;13;Livramento de Nossa Senhora
BA;13;Malhada de Pedras
BA;13;Palmas de Monte Alto
BA;13;Pindaí
BA;13;Rio do Antônio
BA;13;Sebastião Laranjeiras
BA;13;Tanhaçu
BA;13;Tanque Novo
BA;13;Urandi
BA;15;BAIXA GRANDE
BA;15;CAPELA DO ALTO ALEGRE
BA;15;GAVIAO
BA;15;IPIRA
BA;15;MAIRI
BA;15;NOVA FATIMA
BA;15;PE DE SERRA
BA;15;PINTADAS
BA;15;QUIXABEIRA
BA;15;RIACHAO DO JACUIPE
BA;15;SAO JOSE DO JACUIPE
BA;15;SERRA PRETA
BA;15;VARZEA DA ROCA
BA;15;VARZEA DO POCO
BA;16;CAEM
BA;16;CAPIM GROSSO
BA;16;JACOBINA
BA;16;MIGUEL CALMON
BA;16;MIRANGABA
BA;16;OUROLANDIA
BA;16;SAUDE
BA;16;SERROLANDIA
BA;16;UMBURANAS
BA;16;VARZEA NOVA
BA;17;Adustina
BA;17;Antas
BA;17;Banzaê
BA;17;Cícero Dantas
BA;17;Cipó
BA;17;Coronel João Sá
BA;17;Euclides da Cunha
BA;17;Fátima
BA;17;Heliópolis
BA;17;Jeremoabo
BA;17;Nova Soure
BA;17;Novo Triunfo
BA;17;Paripiranga
BA;17;Pedro Alexandre
BA;17;Ribeira do Amparo
BA;17;Ribeira do Pombal
BA;17;Santa Brígida
BA;17;Sítio do Quinto
BA;18;ACAJUTIBA
BA;18;ALAGOINHAS
BA;18;APORA
BA;18;ARACAS
BA;18;ARAMARI
BA;18;CARDEAL DA SILVA
BA;18;CATU
BA;18;CONDE
BA;18;CRISOPOLIS
BA;18;ENTRE RIOS
BA;18;ESPLANADA
BA;18;INHAMBUPE
BA;18;ITANAGRA
BA;18;ITAPICURU
BA;18;JANDAIRA
BA;18;MATA DE SAO JOAO
BA;18;OLINDINA
BA;18;OURICANGAS
BA;18;PEDRAO
BA;18;POJUCA
BA;18;RIO REAL
BA;18;SATIRO DIAS
BA;19;AGUA FRIA
BA;19;AMELIA RODRIGUES
BA;19;ANGUERA
BA;19;ANTONIO CARDOSO
BA;19;CONCEICAO DA FEIRA
BA;19;CONCEICAO DO JACUIPE
BA;19;CORACAO DE MARIA
BA;19;FEIRA DE SANTANA
BA;19;IPECAETA
BA;19;IRARA
BA;19;SANTA BARBARA
BA;19;SANTANOPOLIS
BA;19;SANTO ESTEVAO
BA;19;SAO GONCALO DOS CAMPOS
BA;19;TANQUINHO
BA;19;TEODORO SAMPAIO
BA;19;TERRA NOVA
BA;20;ANAGE
BA;20;ARACATU
BA;20;BARRA DO CHOCA
BA;20;BELO CAMPO
BA;20;BOM JESUS DA SERRA
BA;20;CAETANOS
BA;20;CANDIDO SALES
BA;20;CARAIBAS
BA;20;CONDEUBA
BA;20;CORDEIROS
BA;20;ENCRUZILHADA
BA;20;GUAJERU
BA;20;JACARACI
BA;20;LICINIO DE ALMEIDA
BA;20;MAETINGA
BA;20;MIRANTE
BA;20;MORTUGABA
BA;20;PIRIPA
BA;20;PLANALTO
BA;20;POCOES
BA;20;PRESIDENTE JANIO QUADROS
BA;20;RIBEIRAO DO LARGO
BA;20;TREMEDAL
BA;20;VITORIA DA CONQUISTA
BA;21;CABACEIRAS DO PARAGUACU
BA;21;CACHOEIRA
BA;21;CASTRO ALVES
BA;21;CONCEICAO DO ALMEIDA
BA;21;CRUZ DAS ALMAS
BA;21;DOM MACEDO COSTA
BA;21;GOVERNADOR MANGABEIRA
BA;21;MARAGOGIPE
BA;21;MUNIZ FERREIRA
BA;21;MURITIBA
BA;21;NAZARE
BA;21;SANTO AMARO
BA;21;SANTO ANTONIO DE JESUS
BA;21;SAO FELIX
BA;21;SAO FELIPE
BA;21;SAO FRANCISCO DO CONDE
BA;21;SAO SEBASTIAO DO PASSE
BA;21;SAPEACU
BA;21;SAUBARA
BA;21;VARZEDO
BA;22;AIQUARA
BA;22;APUAREMA
BA;22;BARRA DO ROCHA
BA;22;BOA NOVA
BA;22;DARIO MEIRA
BA;22;GONGOGI
BA;22;IBIRATAIA
BA;22;IPIAU
BA;22;ITAGI
BA;22;ITAGIBA
BA;22;ITAMARI
BA;22;JEQUIE
BA;22;JITAUNA
BA;22;MANOEL VITORINO
BA;22;NOVA IBIA
BA;22;UBATA
BA;23;BREJOLANDIA
BA;23;CANAPOLIS
BA;23;COCOS
BA;23;CORIBE
BA;23;CORRENTINA
BA;23;JABORANDI
BA;23;SANTA MARIA DA VITORIA
BA;23;SANTANA
BA;23;SAO FELIX DO CORIBE
BA;23;SERRA DOURADA
BA;23;TABOCAS DO BREJO VELHO
BA;24;ABARE
BA;24;CHORROCHO
BA;24;GLORIA
BA;24;MACURURE
BA;24;PAULO AFONSO
BA;24;RODELAS
BA;25;ANDORINHA
BA;25;ANTONIO GONCALVES
BA;25;CALDEIRAO GRANDE
BA;25;CAMPO FORMOSO
BA;25;FILADELFIA
BA;25;JAGUARARI
BA;25;PINDOBACU
BA;25;PONTO NOVO
BA;25;SENHOR DO BONFIM
BA;26;CAMACARI
BA;26;CANDEIAS
BA;26;DIAS D AVILA
BA;26;ITAPARICA
BA;26;LAURO DE FREITAS
BA;26;MADRE DE DEUS
BA;26;SALINAS DA MARGARIDA
BA;26;SALVADOR
BA;26;SIMOES FILHO
BA;26;VERA CRUZ
BA;27;BELMONTE
BA;27;EUNAPOLIS
BA;27;GUARATINGA
BA;27;ITABELA
BA;27;ITAGIMIRIM
BA;27;ITAPEBI
BA;27;PORTO SEGURO
BA;27;SANTA CRUZ CABRALIA
PA;abaetetuba;abaetetuba
PA;abaetetuba;acará
PA;abaetetuba;Barcarena
PA;abaetetuba;igarapé-Miri
PA;abaetetuba;Moju
PA;abaetetuba;tailândia
PA;afuá;afuá
PA;afuá;chaves
PA;altamira;altamira
PA;altamira;anapu
PA;altamira;Brasil Novo
PA;altamira;Medicilândia
PA;altamira;Porto de Moz
PA;altamira;senador José Porfírio
PA;altamira;Uruará
PA;altamira;vitória do Xingu
PA;ananindeua ;ananindeua 
PA;Belém ;Belém 
PA;Benevides;Benevides
PA;Bragança;augusto corrêa
PA;Bragança;Bragança
PA;Bragança;cachoeira do Piriá
PA;Bragança;tracuateua
PA;Bragança;viseu
PA;Breves;Breves
PA;Breves;Gurupá
PA;Breves;Melgaço
PA;Breves;Portel
PA;Breves;anajás
PA;Breves;Bagre
PA;cametá;Baião
PA;cametá;cametá
PA;cametá;Mocajuba
PA;capanema;Bonito
PA;capanema;capanema
PA;capanema;Nova timboteua
PA;capanema;ourém
PA;capanema;Peixe-Boi
PA;capanema;Primavera
PA;capanema;Quatipuru
PA;capanema;salinópolis
PA;capanema;santa luzia do Pará
PA;capanema;santarém Novo
PA;capanema;são João de Pirabas
PA;capitão Poço;capitão Poço
PA;capitão Poço;Garrafão do Norte
PA;capitão Poço;Nova esperança do Piriá
PA;castanhal;castanhal
PA;castanhal;curuçá
PA;castanhal;inhangapi
PA;castanhal;santa Maria do Pará
PA;castanhal;são domingos do capim
PA;castanhal;são francisco do Pará
PA;castanhal;são João da Ponta
PA;castanhal;são Miguel do Guamá
PA;castanhal;terra alta
PA;castanhal;Marapanim
PA;conceição do araguaia;conceição do araguaia
PA;conceição do araguaia;cumaru do Norte
PA;conceição do araguaia;floresta do araguaia
PA;conceição do araguaia;Pau d’arco
PA;conceição do araguaia;redenção
PA;conceição do araguaia;santa Maria das Barreiras
PA;conceição do araguaia;santana do araguaia
PA;curralinho;curralinho
PA;curralinho;Muaná
PA;curralinho;são sebastião da Boa vista
PA;curralinho;Ponta de Pedras
PA;curralinho;limoeiro do ajuru
PA;curralinho;oeiras do Pará
PA;itaituba;itaituba
PA;itaituba;Jacareacanga
PA;itaituba;Novo Progresso
PA;itaituba;Placas
PA;itaituba;rurópolis
PA;itaituba;trairão
PA;Mãe do rio;aurora do Pará
PA;Mãe do rio;dom eliseu
PA;Mãe do rio;ipixuna do Pará
PA;Mãe do rio;irituia
PA;Mãe do rio;Mãe do rio
PA;Mãe do rio;Paragominas
