estado_padronizado,municipio_padronizado,UF_CAMPUS,co_uf,no_uf,co_municipio,no_municipio,NOME_CURSO_AJ_2,abaixo_550_abaixo_650,acima_550_abaixo_650,acima_550_acima_650
SAO PAULO,BIRIGUI,SP,35,São Paulo,3506508,Birigui,matematica,23,22,2
SAO PAULO,BRAGANCA PAULISTA,SP,35,São Paulo,3507605,Bragança Paulista,matematica,33,50,2
SAO PAULO,BURI,SP,35,São Paulo,3508009,Buri,biologia,44,124,69
SAO PAULO,CAMPINAS,SP,35,São Paulo,3509502,Campinas,quimica,141,175,20
SAO PAULO,CAMPOS DO JORDAO,SP,35,São Paulo,3509700,Campos do Jordão,matematica,20,23,2
SAO PAULO,CAMPOS DO JORDAO,SP,35,São Paulo,3509700,Campos do Jordão,pedagogia,113,88,3
SAO PAULO,CAPIVARI,SP,35,São Paulo,3510401,Capivari,quimica,24,18,1
SAO PAULO,CARAGUATATUBA,SP,35,São Paulo,3510500,Caraguatatuba,fisica,25,26,
SAO PAULO,CARAGUATATUBA,SP,35,São Paulo,3510500,Caraguatatuba,matematica,31,29,
SAO PAULO,CATANDUVA,SP,35,São Paulo,3511102,Catanduva,quimica,37,23,2
SAO PAULO,CUBATAO,SP,35,São Paulo,3513504,Cubatão,linguaportuguesa,97,79,2
SAO PAULO,CUBATAO,SP,35,São Paulo,3513504,Cubatão,matematica,47,49,4
SAO PAULO,DIADEMA,SP,35,São Paulo,3513801,Diadema,ciencias,458,584,43
SAO PAULO,DIADEMA,SP,35,São Paulo,3513801,Diadema,quimica,25,204,145
SAO PAULO,GUARULHOS,SP,35,São Paulo,3518800,Guarulhos,filosofia,182,536,213
SAO PAULO,GUARULHOS,SP,35,São Paulo,3518800,Guarulhos,historia,69,652,335
SAO PAULO,GUARULHOS,SP,35,São Paulo,3518800,Guarulhos,linguaportuguesa,111,868,449
SAO PAULO,GUARULHOS,SP,35,São Paulo,3518800,Guarulhos,matematica,106,123,16
SAO PAULO,GUARULHOS,SP,35,São Paulo,3518800,Guarulhos,pedagogia,1024,1079,134
SAO PAULO,GUARULHOS,SP,35,São Paulo,3518800,Guarulhos,sociologia,244,877,395
SAO PAULO,HORTOLANDIA,SP,35,São Paulo,3519071,Hortolândia,matematica,55,82,6
SAO PAULO,ITAPETININGA,SP,35,São Paulo,3522307,Itapetininga,fisica,29,21,2
SAO PAULO,ITAPETININGA,SP,35,São Paulo,3522307,Itapetininga,matematica,32,39,1
SAO PAULO,ITAQUAQUECETUBA,SP,35,São Paulo,3523107,Itaquaquecetuba,linguaportuguesa,179,159,3
SAO PAULO,ITAQUAQUECETUBA,SP,35,São Paulo,3523107,Itaquaquecetuba,matematica,98,100,2
SAO PAULO,JACAREI,SP,35,São Paulo,3524402,Jacareí,pedagogia,167,130,9
SAO PAULO,MATAO,SP,35,São Paulo,3529302,Matão,quimica,33,26,1
SAO PAULO,PIRACICABA,SP,35,São Paulo,3538709,Piracicaba,fisica,44,65,4
SAO PAULO,PRESIDENTE EPITACIO,SP,35,São Paulo,3541307,Presidente Epitácio,pedagogia,103,66,2
SAO PAULO,REGISTRO,SP,35,São Paulo,3542602,Registro,fisica,33,15,
SAO PAULO,REGISTRO,SP,35,São Paulo,3542602,Registro,pedagogia,113,74,
SAO PAULO,SALTO,SP,35,São Paulo,3545209,Salto,linguaportuguesa,58,74,5
SAO PAULO,SALTO,SP,35,São Paulo,3545209,Salto,matematica,25,28,4
SAO PAULO,SANTOS,SP,35,São Paulo,3548500,Santos,educacaofisica,368,551,112
SAO PAULO,SAO CARLOS,SP,35,São Paulo,3548906,São Carlos,biologia,163,334,255
SAO PAULO,SAO CARLOS,SP,35,São Paulo,3548906,São Carlos,educacaofisica,663,643,106
SAO PAULO,SAO CARLOS,SP,35,São Paulo,3548906,São Carlos,filosofia,90,137,53
SAO PAULO,SAO CARLOS,SP,35,São Paulo,3548906,São Carlos,fisica,49,144,174
SAO PAULO,SAO CARLOS,SP,35,São Paulo,3548906,São Carlos,linguaportuguesa,134,290,86
SAO PAULO,SAO CARLOS,SP,35,São Paulo,3548906,São Carlos,matematica,72,190,207
SAO PAULO,SAO CARLOS,SP,35,São Paulo,3548906,São Carlos,pedagogia,407,486,145
SAO PAULO,SAO CARLOS,SP,35,São Paulo,3548906,São Carlos,quimica,79,273,190
SAO PAULO,SAO CARLOS,SP,35,São Paulo,3548906,São Carlos,sociologia,118,382,196
SAO PAULO,SAO JOSE DOS CAMPOS,SP,35,São Paulo,3549904,São José dos Campos,matematica,65,68,14
SAO PAULO,SAO JOSE DOS CAMPOS,SP,35,São Paulo,3549904,São José dos Campos,quimica,72,85,10
SAO PAULO,SAO PAULO,SP,35,São Paulo,3550308,São Paulo,biologia,739,599,125
SAO PAULO,SAO PAULO,SP,35,São Paulo,3550308,São Paulo,fisica,125,226,73
SAO PAULO,SAO PAULO,SP,35,São Paulo,3550308,São Paulo,geografia,353,599,189
SAO PAULO,SAO PAULO,SP,35,São Paulo,3550308,São Paulo,linguaportuguesa,1074,1066,113
SAO PAULO,SAO PAULO,SP,35,São Paulo,3550308,São Paulo,matematica,206,211,66
SAO PAULO,SAO PAULO,SP,35,São Paulo,3550308,São Paulo,quimica,213,308,55
SAO PAULO,SAO ROQUE,SP,35,São Paulo,3550605,São Roque,biologia,73,106,11
SAO PAULO,SERTAOZINHO,SP,35,São Paulo,3551702,Sertãozinho,linguaportuguesa,119,96,14
SAO PAULO,SERTAOZINHO,SP,35,São Paulo,3551702,Sertãozinho,quimica,62,53,7
SAO PAULO,SOROCABA,SP,35,São Paulo,3552205,Sorocaba,biologia,226,522,263
SAO PAULO,SOROCABA,SP,35,São Paulo,3552205,Sorocaba,fisica,10,63,21
SAO PAULO,SOROCABA,SP,35,São Paulo,3552205,Sorocaba,geografia,50,127,67
SAO PAULO,SOROCABA,SP,35,São Paulo,3552205,Sorocaba,matematica,21,82,35
SAO PAULO,SOROCABA,SP,35,São Paulo,3552205,Sorocaba,pedagogia,426,526,66
SAO PAULO,SOROCABA,SP,35,São Paulo,3552205,Sorocaba,quimica,40,80,25
SAO PAULO,SUZANO,SP,35,São Paulo,3552502,Suzano,quimica,108,125,5
SAO PAULO,VOTUPORANGA,SP,35,São Paulo,3557105,Votuporanga,fisica,23,19,1
